Address,City,Price,Bedrooms,Bathrooms,Amenities,Listing URL
"3837 Uriah Street, North Port, FL, 34288, US",North Port,2045,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67ad363589454072faa59415
"3840 Adelaide Ave, North Port, FL, 34288, US",North Port,1995,3,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/67c73fd605160b7d4385c380
"12144 Dubarry Ave, Port Charlotte, FL, 33981, US",Port Charlotte,1899,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682ddcd35353300588846f48
"2519 Goliad St, Corpus Christi, TX, 78405, US",Corpus Christi,899,2,1,"parking, pets",https://mynd.rhenti.com/#/property/65b4078998707c00f603d5d8
"1914 Roslyn St, Corpus Christi, TX, 78416, US",Corpus Christi,1299,3,1,"parking, pets",https://mynd.rhenti.com/#/property/65f456a73314951f8b1e095c
"4922 Weber Rd, Corpus Christi, TX, 78411, US",Corpus Christi,1199,3,1,"parking, pets",https://mynd.rhenti.com/#/property/682cfc3863a72d0b15d3c67e
"4926 Anthony St, Corpus Christi, TX, 78415, US",Corpus Christi,1599,3,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682e69f3dc2b3825bd23d610
"4821 Edith St, Corpus Christi, TX, 78411, US",Corpus Christi,1349,3,1,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/683a2b1b5b84f58c22150475
"32063 Pop Ash Pl, San Antonio, FL, 33576, US",San Antonio,2395,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65f9c670e9fdbd002e3aac49
"968 Wicks Drive, Palm Harbor, FL, 34684, US",Palm Harbor,2225,2,2,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6601f434856445002e4d08ad
"31150 Flannery Ct, Wesley Chapel, FL, 33543, US",Wesley Chapel,1945,2,2,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, parking",https://mynd.rhenti.com/#/property/660f231c559cd6002e6e067d
"212 Pine St Unit 212, Clearwater, FL, 33756, US",Clearwater,1395,1,1,"dishwasher, microwave, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/661da577e08213002e417978
"13366 Banyan Rd, Spring Hill, FL, 34609, US",Spring Hill,1899,3,2,"hot_tub, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/662d91c1b8ed2e002e72f082
"10723 Deerberry Dr, Land O Lakes, FL, 34638, US",Land O Lakes,2780,4,3,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/673505d16f0f6d6e00c0a8fd
"3506 N 10th St, Tampa, FL, 33605, US",Tampa,1775,3,1,"fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67aca9764d76096cd4f551cc
